"Number of Outlets","Tzone","Cue Viewing Time","Failure Rate","Failure Rate (Only Temporally)","Period"
"1","50","0","0.55306451612903","0.55306451612903","1000"
"2","50","0","0.84649419155998","0.74865635372214","1000"
"4","50","0","0.93170731707317","0.90731707317073","1000"
"1","50","175","0.56910815939279","0.56910815939279","1000"
"2","50","175","0.8588409740982","0.80918328566132","1000"
"4","50","175","0.92517857142857","0.90642857142857","1000"
"1","50","350","0.36435766836446","0.36435766836446","1000"
"2","50","350","0.26155370040254","0.26155370040254","1000"
"4","50","350","0.52797987208846","0.42350963783099","1000"
"1","125","0","0.3291513652419","0.3291513652419","1000"
"2","125","0","0.91103866290225","0.86225090455567","1000"
"4","125","0","0.90558823529412","0.84558823529412","1000"
"1","125","175","0.15671142898847","0.11439643847613","1000"
"2","125","175","0.48211800849372","0.42012617363661","1000"
"4","125","175","0.78279882154882","0.75795033670034","1000"
"1","125","350","0.11649769585253","0.11649769585253","1000"
"2","125","350","0.05089605734767","0.05089605734767","1000"
"4","125","350","0.1610628342246","0.14250222816399","1000"
"1","200","0","0.22928338992643","0.22928338992643","1000"
"2","200","0","0.82054383173928","0.68489320785336","1000"
"4","200","0","0.88540305010893","0.88169934640523","1000"
"1","200","175","0.16412541846007","0.16412541846007","1000"
"2","200","175","0.14702305817138","0.10415372670808","1000"
"4","200","175","0.37889399280704","0.28335159552551","1000"
"1","200","350","0.056078431372549","0.056078431372549","1000"
"2","200","350","0.1016852770885","0.095233664185277","1000"
"4","200","350","0.090267379679144","0.065775401069519","1000"
"1","50","0","0.7505364408187","0.7505364408187","2000"
"2","50","0","0.92092030360531","0.86577324478178","2000"
"4","50","0","0.91710344827586","0.91310344827586","2000"
"1","50","175","0.83853709508882","0.83853709508882","2000"
"2","50","175","0.95461021505376","0.94211021505376","2000"
"4","50","175","0.9555816226784","0.9555816226784","2000"
"1","50","350","0.3948679714197","0.3948679714197","2000"
"2","50","350","0.39032258064516","0.39032258064516","2000"
"4","50","350","0.56579903596589","0.53289581015944","2000"
"1","125","0","0.52047867195435","0.52047867195435","2000"
"2","125","0","0.90064516129032","0.81971285434995","2000"
"4","125","0","0.92738095238095","0.87071428571429","2000"
"1","125","175","0.26279569892473","0.26279569892473","2000"
"2","125","175","0.52583333333333","0.50625","2000"
"4","125","175","0.83801164352889","0.80066875653083","2000"
"1","125","350","0.185","0.185","2000"
"2","125","350","0.053333333333333","0.053333333333333","2000"
"4","125","350","0.11789784252259","0.077584362898764","2000"
"1","200","0","0.43839285714286","0.43839285714286","2000"
"2","200","0","0.92303293341808","0.81999145876371","2000"
"4","200","0","0.95642857142857","0.91071428571429","2000"
"1","200","175","0.062420554428668","0.062420554428668","2000"
"2","200","175","0.093333333333333","0.06","2000"
"4","200","175","0.31932268606367","0.25322229250123","2000"
"1","200","350","0.087368421052632","0.087368421052632","2000"
"2","200","350","0.061379310344828","0.054712643678161","2000"
"4","200","350","0.093035714285714","0.073035714285714","2000"
